"SG2","SG1","STRESS","","","STRES, Mpa","C1","C2"
"0","0","0","","","0","0","0"
"75","81","1.5190972222222","","","0.46135847431078","-153.53374999999","-247.66124999998"
"137","151","3.2552083333333","","","0.92271694862155","164.355","-340.08999999996"
"204","224","4.7743055555556","","","1.3840754229323","20.062500000029","-166.58874999997"
"272","298","6.5104166666667","","","1.8454338972431","-213.16625000001","82.357499999963"
"338","371","8.2465277777778","","","2.3067923715539","296.33500000004","188.91500000001"
"404","443","9.765625","","","2.7681508458647","533.41874999996","114.78375000001"
"472","519","11.501736111111","","","3.2295093201754","325.25750000001","-267.14750000006"
"538","593","13.237847222222","","","3.6908677944862","-175.89375000016","-188.77125"
"608","669","14.756944444444","","","4.152226268797","-79.963750000078","377.02124999994"
"680","749","16.493055555556","","","4.6135847431078","262.00249999997","204.4699999999"
"747","821","18.012152777778","","","5.0749432174186","282.02249999998","495.00125000002"
"821","901","19.748263888889","","","5.5363016917293","692.85125000002","507.59500000003"
"888","977","21.267361111111","","","5.9976601660401","941.86374999999","99.983750000032"
"962","1059","22.786458333333","","","6.4590186403509","574.33999999995","201.07750000004"
"1034","1137","24.305555555556","","","6.9203771146617","765.91124999997","646.19250000003"
"1107","1217","25.824652777778","","","7.3817355889724","731.82999999999","649.18499999994"
"1175","1290","27.126736111111","","","7.8430940632832","739.56499999994","673.10124999998"
"1246","1369","28.645833333333","","","8.304452537594","906.92874999993","381.05124999999"
"1318","1446","30.164930555556","","","8.7658110119048","954.02624999991","273.17749999994"
"1386","1520","31.467013888889","","","9.2271694862155","918.04625000003","866.39999999993"
"1462","1602","32.986111111111","","","9.6885279605263","881.48749999995","688.31124999996"
"1530","1675","34.288194444444","","","10.149886434837","2380.62625","1045.4124999999"
"1600","1750","35.807291666667","","","10.611244909148","3443.4249999999","1394.86625"
"1669","1827","37.109375","","","11.072603383459","3123.8662499999","1292.29125"
"1742","1901","38.628472222222","","","11.533961857769","3236.435","1396.0912499999"
"1810","1976","39.930555555556","","","11.99532033208","3366.75","958.34124999999"
"1881","2052","41.232638888889","","","12.456678806391","3222.1412499999","1066.41"
"1953","2128","42.534722222222","","","12.918037280702","3252.455","1148.0775000001"
"2024","2203","44.053819444444","","","13.379395755012","3244.7162499999","1231.56875"
"2094","2280","45.355902777778","","","13.840754229323","3286.48625","1404.0924999999"
